# Generated by tools/deep-check.mjs - do not edit.
# engine: lila-stockfish-web 0.0.11 sf16-7 (Stockfish 16, small NNUE net nn-ecb35f70ff2a, sha256 ecb35f70ff2aa4492caec6b552a1628e24319fbe1cc2aaf95eaebabdd92a1e37)
# settings: Threads 1, Hash 64 MB, ucinewgame before each position, MultiPV 5, go depth 28; drilled moves outside the top five searched with searchmoves
# baseline: src/data/evals.js (depth 20, same engine and settings); scores side-to-move centipawns, #n = mate in n
# selection: 128 of 364 drilled positions (narrow = one move within 30 cp of best; demanding = setupGate "demanding"; tactical = best is mate, capture or check)
# only_move: narrow claim 44 hold, 10 fail; demanding: 58 hold, 10 fail; drilled-move accept/reject changed at depth: 9
key	lines	flags	d20_best	d20_second	d20_gap	d20_ways	d28_best	d28_second	d28_gap	d28_ways	only_move	demanding	drilled	drilled_d20	drilled_d28	reached_depth
r2q1rk1/pp3pbp/n2pbnp1/2p1P3/5P2/2NB1N2/PPP3PP/R1BQ1RK1 b - - 0 1	syn-e5punish:19	narrow,tactical	dxe5 0	Ng4 -88	88	1	dxe5 0	Ne8 -90	90	1	holds	n/a	dxe5	best	best	28
rn1qk2r/1bp1npbp/pp1pp1p1/4P3/3P1P2/2NBBN2/PPPQ2PP/R3K2R b KQkq - 0 1	syn-hipdown:17	narrow,tactical	Bxf3 -13	Nd7 -55	42	1	Bxf3 9	Nd7 -50	59	1	holds	n/a	d5	inferior	inferior	28
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 1	c-1e6:4	demanding	c4 26	g3 17	9	5	c4 25	g3 12	13	5	n/a	holds	e3	equal	equal	28
rnbqk2r/ppp1bppp/4pn2/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 0 1	c-be7:8	demanding	O-O 8	Nbd2 7	1	5	b3 7	O-O 6	1	5	n/a	fails	O-O	best	equal	28
rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w - - 0 1	c-be7:10	demanding	c4 14	Nbd2 11	3	5	Nbd2 10	c4 9	1	5	n/a	fails	Nbd2	equal	best	28
r1bqk2r/pp3ppp/2nbpn2/3p4/3P4/1pP1PN2/P1B2PPP/RNBQ1RK1 w kq - 0 1	syn-clamp:16	narrow,tactical	axb3 36	Bxb3 -45	81	1	axb3 28	Bxb3 -28	56	1	holds	n/a	axb3	best	best	28
r1b2rk1/ppq2ppp/2nbpn2/3p4/3P4/1PP1PN2/2BN1PPP/R1BQ1RK1 w - - 0 1	syn-clamp:20	narrow	e4 58	h3 25	33	1	e4 48	h3 27	21	4	fails	n/a	e4	best	best	28
r1b2rk1/ppq2ppp/2nbpn2/8/3Pp3/1PP2N2/2BN1PPP/R1BQ1RK1 w - - 0 1	syn-clamp:22	narrow,tactical	Nxe4 58	Bxe4 16	42	1	Nxe4 52	Bxe4 15	37	1	holds	n/a	Nxe4	best	best	28
r1b2rk1/ppq2ppp/2nbp3/8/3Pn3/1PP2N2/2B2PPP/R1BQ1RK1 w - - 0 1	syn-clamp:24	narrow,tactical	Bxe4 44	Qd3 -300	344	1	Bxe4 55	Qd3 -287	342	1	holds	n/a	Bxe4	best	best	28
r1bq1rk1/pp1n1ppp/3b1n2/2ppp3/3P4/2PBPN2/PP1N1PPP/R1BQR1K1 w - - 0 1	syn-e5colle:16	narrow	e4 31	Nxe5 -3	34	1	e4 33	dxe5 -1	34	1	holds	n/a	e4	best	best	28
r1bq1rk1/pp1n1pp1/3b1n1p/2ppp3/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 w - - 0 1	syn-e5colle:18	tactical	exd5 28	h3 12	16	5	exd5 24	Nxe5 10	14	5	n/a	n/a	exd5	best	best	28
r1bq1rk1/pp1n1pp1/3b1n1p/3Pp3/3p4/2PB1N2/PP1N1PPP/R1BQR1K1 w - - 0 1	syn-e5colle:20	tactical	cxd4 19	Nc4 16	3	3	Nc4 24	cxd4 18	6	3	n/a	n/a	Nc4	equal	best	28
rbbq1rk1/pp1n1pp1/5n1p/3Pp3/2Np4/2PB1N2/PP3PPP/R1BQR1K1 w - - 0 1	syn-e5colle:22	narrow,tactical	cxd4 31	Ncxe5 0	31	1	cxd4 22	Bf1 3	19	2	fails	n/a	cxd4	best	best	28
rbbq1rk1/pp1n1pp1/5n1p/3P4/2NPp3/3B1N2/PP3PPP/R1BQR1K1 w - - 0 1	syn-e5colle:24	narrow,tactical	Bxe4 26	Rxe4 -107	133	1	Bxe4 22	Rxe4 -92	114	1	holds	n/a	Bxe4	best	best	28
rbbq1rk1/pp1n1pp1/7p/3P4/2NPn3/5N2/PP3PPP/R1BQR1K1 w - - 0 1	syn-e5colle:26	narrow,tactical	Rxe4 34	Bxh6 -281	315	1	Rxe4 16	Bxh6 -285	301	1	holds	n/a	Rxe4	best	best	28
r1b1qrk1/ppp3bp/2np1np1/4pp2/2PP4/1PN1PN2/PB2BPPP/R2Q1RK1 w - - 0 1	syn-dutch:18	tactical	dxe5 39	Nd5 39	0	5	Nd5 46	dxe5 44	2	4	n/a	n/a	dxe5	best	equal	28
r1b1qrk1/ppp3bp/2n3p1/3npp2/2P5/1P2PN2/PB2BPPP/R2Q1RK1 w - - 0 1	syn-dutch:22	narrow,tactical	cxd5 145	Qxd5+ 4	141	1	cxd5 140	Qxd5+ -4	144	1	holds	n/a	cxd5	best	best	28
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1	syn-benoni:2	narrow	d5 54	e4 21	33	1	d5 62	e4 15	47	1	holds	n/a	e3	concession	concession	28
rnbqkbnr/pp1ppppp/8/8/3p4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 1	syn-benoni:4	narrow,tactical	exd4 25	Qxd4 -7	32	1	exd4 12	Qxd4 -23	35	1	holds	n/a	exd4	best	best	28
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1	c-englund:2	narrow,tactical	dxe5 105	Nc3 27	78	1	dxe5 97	Nc3 26	71	1	holds	n/a	dxe5	best	best	28
r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 1	c-englund:4	narrow	Nf3 115	Bf4 72	43	1	Nf3 104	Bf4 74	30	2	fails	n/a	Nf3	best	best	28
r1b1kbnr/pppp1ppp/2n5/4P3/1q3B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 1	c-englund:8	narrow	Bd2 112	Nc3 35	77	1	Bd2 99	Nc3 20	79	1	holds	n/a	Bd2	best	best	28
r1b1kbnr/pppp1ppp/2n5/4P3/8/5N2/PqPBPPPP/RN1QKB1R w KQkq - 0 1	c-englund:10	narrow	Nc3 169	e6 -202	371	1	Nc3 155	e6 -208	363	1	holds	n/a	Nc3	best	best	28
r1b1kbnr/pppp1ppp/8/4P3/1n6/2N2N2/PqPBPPPP/R2QKB1R w KQkq - 0 1	c-englund:12	narrow	Nd4 210	Rc1 38	172	1	Nd4 217	Rc1 46	171	1	holds	n/a	Nd4	best	best	28
rn1qkbnr/pp2pppp/2p5/3p4/3P4/3bPN2/PPP2PPP/RNBQK2R w KQkq - 0 1	c-1c6:8	tactical	Qxd3 16	cxd3 -4	20	2	Qxd3 20	cxd3 14	6	2	n/a	n/a	Qxd3	best	best	28
rnbqkbnr/pp2pppp/8/3p4/3p4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 1	c-2c5:6	tactical	exd4 16	Bb5+ -14	30	2	exd4 13	Bb5+ -14	27	2	n/a	n/a	exd4	best	best	28
r1b1kbnr/pp2pppp/2n5/qB1p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 1	c-2c5:10	narrow	Nc3 -1	Bd2 -371	370	1	Nc3 1	Bd2 -378	379	1	holds	n/a	Nc3	best	best	28
rn1qkbnr/ppp2ppp/4p3/3pNb2/2PP4/8/PP2PPPP/RNBQKB1R w KQkq - 0 1	c-2bg4:8	narrow,tactical	cxd5 97	Nc3 65	32	1	cxd5 86	Nc3 56	30	2	fails	n/a	cxd5	best	best	28
rn1qkb1r/ppp1pppp/5n2/3p4/3P4/4Pb1P/PPP2PP1/RNBQKB1R w KQkq - 0 1	c-bxf3:8	narrow,tactical	Qxf3 28	gxf3 -17	45	1	Qxf3 33	gxf3 -17	50	1	holds	n/a	Qxf3	best	best	28
rn1qkb1r/ppp2ppp/4pn2/3p4/3P4/4PQ1P/PPP2PP1/RNB1KB1R w KQkq - 0 1	c-bxf3:10	narrow	c4 39	g3 5	34	1	c4 40	g3 6	34	1	holds	n/a	c4	best	best	28
rnbqk1nr/ppppppbp/6p1/8/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 0 1	h-bc4:5	narrow	e6 14	d5 -58	72	1	e6 17	Nh6 -57	74	1	holds	n/a	e6	best	best	28
